"Reference","Latitude","Longitude"
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6410135554,153.058380208
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.6448818857,153.046632821
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.61187794,153.065033274
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6164934565,153.078059411
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6416699915,153.0642399
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
